example_id                                              | status | run_time        |
------------------------------------------------------- | ------ | --------------- |
./spec/controllers/businesses_controller_spec.rb[1:1:1] | passed | 0.07929 seconds |
./spec/controllers/businesses_controller_spec.rb[1:2:1] | passed | 0.00352 seconds |
./spec/controllers/businesses_controller_spec.rb[1:2:2] | passed | 0.03135 seconds |
./spec/controllers/businesses_controller_spec.rb[1:3:1] | passed | 0.00657 seconds |
./spec/controllers/businesses_controller_spec.rb[1:3:2] | passed | 0.02839 seconds |
./spec/controllers/businesses_controller_spec.rb[1:3:3] | passed | 0.02173 seconds |
./spec/controllers/businesses_controller_spec.rb[1:4:1] | passed | 0.02929 seconds |
./spec/controllers/businesses_controller_spec.rb[1:4:2] | passed | 0.05747 seconds |
./spec/controllers/businesses_controller_spec.rb[1:4:3] | passed | 0.0142 seconds  |
./spec/controllers/businesses_controller_spec.rb[1:5:1] | passed | 0.06598 seconds |
./spec/controllers/businesses_controller_spec.rb[1:5:2] | passed | 0.04612 seconds |
./spec/controllers/businesses_controller_spec.rb[1:5:3] | passed | 0.03532 seconds |
./spec/controllers/businesses_controller_spec.rb[1:5:4] | passed | 0.36492 seconds |
./spec/controllers/businesses_controller_spec.rb[1:6:1] | passed | 0.0306 seconds  |
./spec/controllers/businesses_controller_spec.rb[1:6:2] | passed | 0.0394 seconds  |
./spec/controllers/businesses_controller_spec.rb[1:7:1] | passed | 0.02943 seconds |
./spec/controllers/businesses_controller_spec.rb[1:7:2] | passed | 0.047 seconds   |
./spec/helpers/businesses_helper_spec.rb[1:1:1]         | passed | 0.00178 seconds |
./spec/helpers/businesses_helper_spec.rb[1:1:2]         | passed | 0.00222 seconds |
./spec/models/business_model_spec.rb[1:1:1:1]           | passed | 0.009 seconds   |
./spec/models/business_model_spec.rb[1:1:1:2]           | passed | 0.0021 seconds  |
./spec/models/business_model_spec.rb[1:1:1:3]           | passed | 0.00602 seconds |
./spec/models/business_model_spec.rb[1:1:2:1]           | passed | 0.01333 seconds |
./spec/models/business_model_spec.rb[1:1:2:2]           | passed | 0.00982 seconds |
./spec/models/business_model_spec.rb[1:1:3:1]           | passed | 0.04547 seconds |
./spec/models/business_model_spec.rb[1:1:3:2]           | passed | 0.03767 seconds |
./spec/models/business_model_spec.rb[1:1:3:3]           | passed | 0.05313 seconds |
./spec/models/business_model_spec.rb[1:1:4:1]           | passed | 0.00666 seconds |
./spec/models/business_model_spec.rb[1:1:4:2]           | passed | 0.00698 seconds |
./spec/models/business_model_spec.rb[1:1:4:3]           | passed | 0.0086 seconds  |
./spec/models/business_model_spec.rb[1:1:4:4]           | passed | 0.00695 seconds |
./spec/models/business_model_spec.rb[1:1:5:1]           | passed | 0.00165 seconds |
./spec/models/business_model_spec.rb[1:1:5:2]           | passed | 0.00156 seconds |
./spec/models/business_model_spec.rb[1:1:5:3]           | passed | 0.00659 seconds |
./spec/models/business_model_spec.rb[1:1:5:4]           | passed | 0.00305 seconds |
./spec/models/review_model_spec.rb[1:1:1:1]             | passed | 0.00648 seconds |
./spec/models/review_model_spec.rb[1:1:2:1]             | passed | 0.00405 seconds |
./spec/models/review_model_spec.rb[1:1:2:2]             | passed | 0.0045 seconds  |
./spec/models/review_model_spec.rb[1:1:3:1]             | passed | 0.01243 seconds |
./spec/models/review_model_spec.rb[1:1:3:2]             | passed | 0.0063 seconds  |
./spec/models/user_model_spec.rb[1:1:1:1]               | passed | 0.0075 seconds  |
./spec/models/user_model_spec.rb[1:1:2:1]               | passed | 0.02959 seconds |
./spec/models/user_model_spec.rb[1:1:3:1]               | passed | 0.07956 seconds |
